[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.55
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.40
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.36
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.27
[2025-07-23 17:29:16] (Elapsed: 7.95s) Processing frame 19
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.86
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.84
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.84
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.81
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.80
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.77
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.69
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.57
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.46
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.43
[2025-07-23 17:29:16] (Elapsed: 8.22s) Detected: car with confidence 0.36
[2025-07-23 17:29:16] (Elapsed: 8.22s) Processing frame 20
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.88
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.86
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.85
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.83
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.77
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.76
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.71
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.67
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.63
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.40
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.38
[2025-07-23 17:29:16] (Elapsed: 8.48s) Detected: car with confidence 0.28
[2025-07-23 17:29:16] (Elapsed: 8.48s) Processing frame 21
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.88
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.86
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.84
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.82
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.80
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.74
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.73
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.59
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.59
